batting_team,bowling_team,venue,overs,current_runs,wickets,last_5_overs_runs,total_score
CSK,MI,Hyderabad,19.1,163,3,52,169
MI,LSG,Chennai,14.9,146,7,73,181
RCB,RR,Mumbai,11.7,111,1,63,186
RCB,KKR,Ahmedabad,13.1,109,6,57,166
GT,KKR,Bangalore,3.0,21,1,69,124
GT,LSG,Hyderabad,16.8,144,0,61,174
CSK,LSG,Jaipur,16.2,123,4,30,151
RR,KKR,Kolkata,4.5,29,2,43,124
PBKS,MI,Jaipur,8.3,80,9,64,163
MI,RCB,Bangalore,1.1,8,3,41,162
SRH,MI,Delhi,14.3,97,10,51,149
CSK,LSG,Ahmedabad,12.0,93,0,56,157
PBKS,GT,Hyderabad,12.3,90,3,51,136
GT,DC,Hyderabad,6.5,40,1,37,167
DC,MI,Ahmedabad,17.8,118,9,47,133
PBKS,MI,Bangalore,10.4,69,8,39,161
CSK,DC,Hyderabad,9.2,69,6,67,172
MI,RR,Jaipur,9.6,86,7,62,179
KKR,RR,Ahmedabad,5.7,55,4,62,192
PBKS,SRH,Ahmedabad,9.0,80,1,34,176
RCB,DC,Bangalore,9.4,58,1,42,133
CSK,MI,Hyderabad,6.7,47,7,50,176
CSK,RCB,Ahmedabad,15.7,151,7,54,177
GT,KKR,Ahmedabad,9.3,66,1,77,171
MI,DC,Chennai,17.3,108,0,70,130
KKR,MI,Jaipur,6.2,56,10,48,184
LSG,KKR,Kolkata,17.7,154,6,37,176
PBKS,RCB,Mumbai,9.1,55,4,41,148
RCB,CSK,Bangalore,18.3,140,7,44,156
RCB,SRH,Bangalore,15.6,111,8,48,141
MI,GT,Hyderabad,19.6,190,5,46,193
RR,PBKS,Delhi,5.2,50,7,52,189
DC,RR,Jaipur,17.2,150,3,54,174
PBKS,GT,Mumbai,19.6,138,4,49,141
PBKS,GT,Chennai,10.9,69,1,57,145
SRH,KKR,Ahmedabad,12.2,76,5,35,133
DC,SRH,Bangalore,2.8,25,9,60,195
LSG,RR,Chennai,7.3,45,6,76,135
DC,SRH,Delhi,3.8,24,6,46,133
LSG,SRH,Jaipur,10.0,88,5,59,160
SRH,MI,Chennai,19.6,180,5,71,183
DC,LSG,Ahmedabad,16.1,105,8,41,136
LSG,KKR,Delhi,3.6,33,8,43,147
LSG,PBKS,Kolkata,16.9,158,3,52,185
RCB,CSK,Delhi,4.1,26,2,48,173
LSG,GT,Hyderabad,18.4,122,3,44,137
RR,CSK,Mumbai,3.0,18,8,78,128
LSG,SRH,Delhi,19.9,131,4,50,131
MI,RR,Jaipur,11.5,104,5,70,159
CSK,LSG,Hyderabad,4.9,38,8,33,138
RR,MI,Chennai,12.1,108,1,56,183
KKR,MI,Jaipur,15.4,106,7,60,150
DC,RR,Hyderabad,16.6,100,4,37,133
GT,CSK,Bangalore,16.0,152,9,42,180
PBKS,LSG,Chennai,10.8,74,5,74,149
KKR,DC,Jaipur,3.0,25,10,58,171
SRH,PBKS,Jaipur,5.0,42,3,59,166
LSG,MI,Ahmedabad,18.2,155,5,77,170
PBKS,MI,Ahmedabad,4.3,37,9,45,173
RR,CSK,Mumbai,16.2,132,8,45,169
DC,GT,Delhi,19.8,170,2,47,171
KKR,MI,Ahmedabad,2.6,17,6,57,181
SRH,RR,Mumbai,1.8,11,10,76,166
SRH,DC,Jaipur,1.1,10,9,56,145
KKR,RCB,Bangalore,16.0,140,9,76,169
DC,RR,Ahmedabad,18.6,137,10,70,148
DC,LSG,Ahmedabad,8.2,57,6,78,150
CSK,SRH,Mumbai,19.1,163,6,52,171
SRH,RR,Delhi,4.3,36,6,49,189
RCB,LSG,Chennai,2.0,13,10,51,150
PBKS,RR,Chennai,9.3,62,5,65,132
KKR,RCB,Mumbai,1.6,13,1,54,157
PBKS,CSK,Hyderabad,15.5,118,7,38,146
LSG,RCB,Delhi,11.4,70,4,36,143
KKR,SRH,Bangalore,15.2,119,9,71,151
MI,KKR,Hyderabad,7.1,66,3,46,168
LSG,MI,Hyderabad,4.1,26,1,34,122
PBKS,RR,Jaipur,19.8,124,9,77,125
MI,RCB,Ahmedabad,20.0,134,4,77,134
RR,LSG,Chennai,6.3,52,10,53,173
RR,LSG,Kolkata,13.8,135,9,51,180
RCB,SRH,Ahmedabad,4.1,39,2,35,149
SRH,DC,Kolkata,13.2,118,6,41,174
LSG,RR,Jaipur,8.4,73,2,53,149
SRH,GT,Delhi,15.4,118,5,73,159
MI,KKR,Bangalore,14.0,111,4,60,153
MI,SRH,Kolkata,6.8,43,9,61,144
RR,PBKS,Delhi,6.9,53,1,34,154
RR,PBKS,Kolkata,17.5,139,10,71,159
RR,GT,Kolkata,5.7,55,6,48,176
DC,GT,Delhi,5.0,43,6,71,137
KKR,GT,Delhi,19.3,167,0,62,172
KKR,SRH,Delhi,6.1,40,10,64,128
CSK,RR,Kolkata,5.8,48,8,70,133
LSG,SRH,Kolkata,16.5,112,8,68,134
CSK,MI,Mumbai,17.3,130,2,59,150
GT,MI,Chennai,9.9,60,2,69,160
MI,SRH,Kolkata,7.2,53,10,34,137
GT,RR,Ahmedabad,7.7,58,7,40,132
SRH,CSK,Kolkata,13.9,117,1,72,174
MI,LSG,Hyderabad,16.3,114,5,41,144
DC,MI,Hyderabad,12.2,114,10,75,186
DC,GT,Mumbai,17.1,132,3,67,156
RCB,GT,Mumbai,15.2,128,4,57,165
RCB,RR,Delhi,5.0,37,1,35,137
CSK,PBKS,Kolkata,5.4,36,6,46,127
CSK,MI,Bangalore,3.5,29,4,40,155
MI,DC,Ahmedabad,16.1,101,10,61,132
SRH,PBKS,Hyderabad,14.3,97,10,56,135
LSG,GT,Kolkata,3.6,33,5,45,143
CSK,RR,Mumbai,11.1,101,6,72,162
SRH,DC,Chennai,4.9,46,3,48,170
KKR,DC,Bangalore,16.1,102,4,66,130
PBKS,SRH,Delhi,10.0,89,5,63,181
KKR,MI,Jaipur,16.7,151,5,34,181
LSG,RR,Chennai,16.8,112,7,79,135
DC,RR,Jaipur,17.9,176,3,57,194
MI,RCB,Ahmedabad,1.6,12,1,40,190
CSK,RR,Jaipur,15.7,152,4,41,181
PBKS,GT,Mumbai,16.5,108,10,51,131
LSG,RR,Mumbai,10.3,81,8,50,150
DC,RCB,Bangalore,9.1,71,7,53,165
MI,CSK,Kolkata,14.1,100,5,68,135
PBKS,CSK,Bangalore,8.3,67,6,75,180
KKR,RCB,Chennai,5.9,50,9,36,151
SRH,PBKS,Kolkata,19.4,141,7,43,144
GT,PBKS,Chennai,5.9,46,4,49,130
MI,RCB,Mumbai,8.7,85,1,75,158
RR,RCB,Bangalore,7.4,58,5,42,147
KKR,CSK,Delhi,6.9,42,2,48,158
RCB,PBKS,Jaipur,2.0,12,8,31,138
SRH,PBKS,Chennai,4.3,40,7,56,194
PBKS,CSK,Chennai,18.0,117,3,77,130
LSG,CSK,Hyderabad,19.6,180,2,45,182
KKR,PBKS,Hyderabad,5.5,37,5,66,172
RR,DC,Delhi,1.9,12,1,71,178
DC,RR,Bangalore,5.1,47,10,58,137
DC,PBKS,Jaipur,15.5,110,5,35,137
KKR,LSG,Jaipur,15.6,153,9,46,184
MI,KKR,Jaipur,13.3,99,1,69,165
KKR,GT,Jaipur,19.9,137,4,38,137
SRH,CSK,Bangalore,1.2,11,2,64,181
GT,RCB,Chennai,13.4,93,2,71,157
RR,PBKS,Delhi,2.8,21,7,51,131
CSK,GT,Chennai,11.0,108,8,39,165
PBKS,SRH,Mumbai,9.3,73,5,39,173
KKR,GT,Jaipur,14.7,105,9,38,146
PBKS,RR,Chennai,9.5,75,7,67,146
DC,LSG,Mumbai,17.2,164,1,48,188
MI,DC,Hyderabad,11.5,82,2,74,139
SRH,RCB,Hyderabad,15.2,149,4,57,196
MI,KKR,Chennai,16.3,140,4,71,169
PBKS,RR,Delhi,7.2,71,1,31,190
RR,KKR,Delhi,18.7,149,0,36,159
RCB,PBKS,Mumbai,1.8,13,2,59,122
LSG,MI,Mumbai,16.2,125,2,78,159
GT,CSK,Bangalore,19.5,180,0,49,184
LSG,KKR,Delhi,4.2,38,6,36,145
PBKS,MI,Chennai,18.0,129,5,34,142
KKR,GT,Bangalore,4.7,28,8,45,161
KKR,RCB,Jaipur,2.6,22,6,69,142
GT,LSG,Kolkata,18.3,128,9,55,138
CSK,MI,Delhi,4.6,36,6,72,163
RR,MI,Chennai,14.9,146,9,63,178
LSG,PBKS,Ahmedabad,2.2,21,2,57,150
SRH,KKR,Ahmedabad,2.9,25,5,32,147
RR,PBKS,Jaipur,3.2,22,4,39,130
MI,KKR,Mumbai,8.5,54,0,43,137
SRH,PBKS,Hyderabad,7.3,57,2,65,166
DC,RR,Ahmedabad,17.9,167,3,43,182
MI,LSG,Chennai,15.9,113,0,50,138
PBKS,SRH,Ahmedabad,18.1,160,8,33,176
DC,SRH,Delhi,16.5,155,8,47,187
SRH,CSK,Hyderabad,1.9,17,10,63,146
RCB,DC,Ahmedabad,8.7,85,6,64,193
SRH,RR,Kolkata,6.9,47,9,71,150
RCB,SRH,Kolkata,8.1,56,1,38,137
RCB,RR,Chennai,13.6,110,5,56,167
LSG,GT,Jaipur,2.4,18,6,69,124
SRH,RR,Chennai,5.2,48,7,59,185
KKR,DC,Ahmedabad,9.3,56,2,56,124
CSK,KKR,Jaipur,14.9,100,7,77,137
DC,CSK,Jaipur,1.5,13,9,50,170
GT,MI,Kolkata,3.0,21,5,45,152
RR,PBKS,Kolkata,18.4,110,4,51,124
PBKS,RR,Ahmedabad,4.0,34,9,71,147
MI,PBKS,Chennai,1.3,8,10,53,145
LSG,RR,Chennai,2.3,16,2,49,176
LSG,GT,Ahmedabad,15.2,130,8,35,167
GT,MI,Hyderabad,1.8,14,7,65,125
PBKS,LSG,Ahmedabad,14.0,127,1,61,168
SRH,LSG,Mumbai,16.1,146,7,78,169
RR,CSK,Hyderabad,15.6,147,1,40,179
RCB,GT,Ahmedabad,18.7,152,3,35,160
PBKS,KKR,Ahmedabad,17.9,131,7,57,144
SRH,LSG,Jaipur,20.0,176,0,51,176
GT,PBKS,Bangalore,1.9,15,8,62,136
LSG,RCB,Bangalore,14.8,131,5,37,163
GT,DC,Mumbai,1.8,15,7,71,179
PBKS,DC,Kolkata,16.9,139,5,71,162
PBKS,SRH,Hyderabad,12.4,85,0,35,134
PBKS,LSG,Ahmedabad,9.2,56,3,30,131
GT,DC,Delhi,10.9,76,9,69,150
RCB,LSG,Kolkata,18.1,123,3,58,139
MI,PBKS,Mumbai,8.1,71,6,44,182
MI,PBKS,Ahmedabad,9.2,91,0,53,163
DC,CSK,Delhi,18.4,133,5,79,148
KKR,GT,Ahmedabad,14.2,124,9,75,171
PBKS,LSG,Jaipur,9.3,68,4,59,143
DC,LSG,Bangalore,14.7,140,6,58,192
LSG,DC,Hyderabad,17.2,142,0,31,167
RCB,DC,Delhi,6.7,54,0,46,141
SRH,PBKS,Chennai,10.4,103,2,49,173
CSK,RR,Hyderabad,1.2,11,1,38,127
CSK,RCB,Delhi,5.3,44,1,77,184
RR,LSG,Kolkata,16.6,164,4,49,194
PBKS,RR,Hyderabad,16.0,125,4,50,152
PBKS,LSG,Delhi,12.0,107,2,40,180
MI,GT,Ahmedabad,13.7,101,6,74,140
PBKS,KKR,Mumbai,2.8,26,8,41,154
MI,LSG,Delhi,10.4,69,10,39,133
DC,KKR,Bangalore,3.1,30,6,59,142
KKR,SRH,Delhi,14.4,94,0,64,127
GT,RR,Jaipur,15.6,100,10,41,134
LSG,CSK,Chennai,13.9,135,6,79,176
RCB,SRH,Ahmedabad,3.2,28,7,40,158
RR,CSK,Bangalore,19.3,187,1,49,193
GT,RCB,Ahmedabad,12.7,87,4,45,152
RCB,KKR,Mumbai,15.1,115,7,38,147
RR,SRH,Mumbai,8.0,56,10,75,130
RR,SRH,Chennai,14.7,107,1,46,159
RCB,GT,Jaipur,15.8,137,4,66,178
LSG,RCB,Kolkata,1.0,8,6,71,176
KKR,GT,Mumbai,15.6,98,2,79,130
KKR,DC,Kolkata,17.3,124,7,57,144
GT,PBKS,Chennai,18.5,112,2,79,121
DC,GT,Delhi,19.4,173,7,46,177
SRH,RCB,Chennai,10.2,89,6,44,165
DC,CSK,Bangalore,6.5,39,9,37,169
PBKS,LSG,Hyderabad,6.7,64,1,42,152
DC,RCB,Bangalore,15.2,131,4,38,166
MI,DC,Hyderabad,12.4,97,4,79,149
KKR,DC,Chennai,12.5,89,6,54,152
LSG,GT,Kolkata,14.1,125,6,56,177
GT,RCB,Mumbai,6.3,60,7,34,185
LSG,RCB,Ahmedabad,15.1,131,1,37,177
PBKS,LSG,Mumbai,5.7,37,8,30,150
RCB,GT,Delhi,10.3,83,3,67,151
GT,SRH,Kolkata,9.5,64,9,37,129
MI,CSK,Jaipur,5.8,51,3,44,173
KKR,LSG,Delhi,8.0,63,1,62,167
GT,RR,Chennai,2.7,24,6,49,183
MI,RR,Bangalore,16.2,104,0,64,129
LSG,DC,Ahmedabad,5.8,42,8,34,153
PBKS,DC,Kolkata,19.3,147,2,72,153
MI,RCB,Bangalore,4.3,26,3,51,166
GT,SRH,Mumbai,13.6,115,5,57,174
LSG,KKR,Mumbai,18.0,163,0,54,179
LSG,SRH,Mumbai,5.3,33,10,44,121
KKR,MI,Jaipur,9.6,80,3,41,165
KKR,RR,Kolkata,3.0,25,0,55,155
PBKS,SRH,Hyderabad,11.1,99,9,75,163
MI,LSG,Chennai,19.5,151,0,69,154
KKR,MI,Kolkata,10.0,89,3,71,149
RR,LSG,Delhi,7.2,48,1,68,154
DC,GT,Hyderabad,4.6,39,7,55,175
RR,RCB,Kolkata,1.0,6,6,52,186
MI,RCB,Ahmedabad,11.5,74,3,79,145
CSK,PBKS,Hyderabad,19.4,125,10,79,130
SRH,LSG,Chennai,6.7,43,9,61,173
RCB,DC,Delhi,19.7,194,5,78,196
KKR,DC,Jaipur,16.8,166,3,31,185
GT,RR,Mumbai,16.7,118,10,51,141
RR,SRH,Hyderabad,5.8,42,5,60,151
GT,SRH,Kolkata,16.3,153,8,53,188
RR,MI,Chennai,10.6,92,8,54,173
RR,CSK,Bangalore,6.3,40,1,43,159
LSG,RR,Chennai,2.4,23,8,34,148
PBKS,SRH,Hyderabad,15.4,107,6,31,149
RR,PBKS,Chennai,19.6,187,4,37,190
RCB,SRH,Mumbai,12.7,112,1,78,173
DC,KKR,Delhi,13.0,96,6,31,161
GT,DC,Chennai,2.6,16,8,53,169
RR,RCB,Bangalore,12.2,115,3,72,162
PBKS,LSG,Jaipur,2.3,16,4,79,161
MI,KKR,Mumbai,11.1,80,1,45,154
MI,CSK,Ahmedabad,2.3,19,4,61,162
KKR,CSK,Bangalore,1.2,11,3,71,153
KKR,PBKS,Bangalore,8.5,83,9,37,169
KKR,RCB,Bangalore,15.0,126,2,32,163
LSG,SRH,Mumbai,3.0,21,10,61,125
LSG,RR,Ahmedabad,18.4,182,5,30,194
LSG,CSK,Delhi,19.5,174,9,44,177
SRH,PBKS,Bangalore,3.9,33,4,38,187
GT,LSG,Jaipur,9.8,89,6,32,171
KKR,CSK,Mumbai,4.7,35,7,67,170
RR,DC,Chennai,16.6,118,0,57,148
GT,MI,Bangalore,11.0,104,6,45,173
RR,KKR,Jaipur,7.1,42,7,74,168
DC,MI,Mumbai,17.6,175,9,68,196
MI,RR,Kolkata,17.1,143,6,33,171
PBKS,CSK,Hyderabad,2.4,21,7,57,196
CSK,GT,Kolkata,3.7,26,6,48,162
DC,CSK,Delhi,2.2,14,4,76,184
SRH,LSG,Hyderabad,18.0,118,0,71,131
RCB,KKR,Hyderabad,6.9,46,9,40,136
LSG,MI,Hyderabad,7.8,75,1,53,151
DC,PBKS,Kolkata,6.9,64,7,47,194
DC,RCB,Delhi,11.9,104,6,62,183
RR,PBKS,Bangalore,3.0,26,10,51,167
LSG,DC,Ahmedabad,19.6,135,1,52,138
RR,SRH,Chennai,11.4,83,5,48,138
SRH,RCB,Delhi,12.4,105,9,49,178
SRH,CSK,Mumbai,9.7,81,6,57,183
KKR,RR,Bangalore,7.2,54,8,59,178
MI,GT,Kolkata,3.1,30,7,45,146
MI,RR,Chennai,13.1,109,0,41,167
MI,SRH,Jaipur,3.0,21,3,61,130
CSK,SRH,Kolkata,11.8,93,1,30,142
KKR,LSG,Kolkata,3.7,36,3,36,176
CSK,SRH,Chennai,13.3,111,0,48,159
GT,SRH,Ahmedabad,18.1,131,9,71,146
RCB,CSK,Mumbai,3.9,24,6,62,132
DC,KKR,Jaipur,6.8,64,1,48,173
KKR,DC,Hyderabad,11.9,76,6,76,143
MI,SRH,Chennai,1.4,10,5,71,148
LSG,PBKS,Chennai,3.3,29,10,60,147
SRH,LSG,Jaipur,16.4,113,3,37,140
GT,KKR,Kolkata,3.0,25,3,46,151
GT,DC,Delhi,2.6,20,9,73,176
CSK,RR,Hyderabad,4.0,25,5,40,134
DC,RR,Bangalore,4.5,43,1,79,165
RR,KKR,Hyderabad,19.9,166,2,47,166
MI,KKR,Ahmedabad,16.6,140,10,56,166
RCB,KKR,Mumbai,3.1,27,0,49,189
MI,GT,Ahmedabad,10.3,90,6,42,175
CSK,RR,Bangalore,16.0,141,0,69,170
DC,RR,Delhi,11.1,78,10,48,160
RR,DC,Jaipur,12.5,116,7,34,189
DC,LSG,Chennai,19.9,178,5,70,178
PBKS,GT,Mumbai,18.6,122,6,72,132
KKR,MI,Chennai,15.2,146,4,51,189
SRH,MI,Ahmedabad,3.9,30,5,67,178
CSK,GT,Hyderabad,3.0,24,6,68,188
SRH,CSK,Hyderabad,17.9,125,6,47,139
KKR,PBKS,Ahmedabad,3.1,19,0,44,183
LSG,RR,Delhi,12.3,122,1,67,178
CSK,SRH,Kolkata,8.7,55,9,36,141
KKR,GT,Hyderabad,15.2,123,7,35,163
PBKS,LSG,Bangalore,3.8,30,10,49,130
CSK,LSG,Jaipur,1.9,15,4,66,181
SRH,KKR,Kolkata,17.6,143,4,74,160
SRH,LSG,Delhi,15.3,95,6,69,137
DC,SRH,Ahmedabad,16.8,135,4,56,156
RR,SRH,Bangalore,4.6,34,2,72,131
RR,PBKS,Delhi,16.7,159,7,52,190
PBKS,DC,Delhi,5.1,32,4,62,145
CSK,PBKS,Kolkata,16.5,121,9,38,145
RCB,MI,Ahmedabad,13.8,92,9,69,133
LSG,KKR,Mumbai,9.4,79,3,62,152
GT,PBKS,Kolkata,9.7,77,3,74,144
SRH,RR,Delhi,16.9,159,9,36,182
KKR,SRH,Chennai,16.1,112,8,31,136
LSG,KKR,Mumbai,17.9,171,1,62,184
PBKS,SRH,Ahmedabad,13.8,99,2,48,157
RR,PBKS,Chennai,10.5,73,4,54,137
MI,SRH,Chennai,15.1,147,2,53,179
RR,RCB,Hyderabad,19.2,116,5,71,122
LSG,KKR,Chennai,12.6,124,6,51,180
GT,MI,Mumbai,5.4,51,3,47,148
PBKS,RR,Hyderabad,9.2,67,6,33,171
MI,SRH,Mumbai,19.7,169,4,33,171
GT,SRH,Mumbai,12.5,110,4,69,171
PBKS,DC,Mumbai,17.9,115,8,32,133
PBKS,DC,Bangalore,14.0,92,7,75,132
KKR,DC,Chennai,6.5,49,1,34,149
RR,KKR,Bangalore,3.8,36,3,61,163
RR,KKR,Chennai,15.7,147,0,48,184
DC,LSG,Mumbai,4.1,30,10,41,151
CSK,SRH,Delhi,10.7,81,2,77,162
DC,MI,Jaipur,9.5,85,3,32,163
DC,GT,Ahmedabad,12.4,80,8,57,155
MI,RCB,Chennai,2.2,21,3,68,172
MI,RR,Delhi,9.9,90,0,49,172
MI,LSG,Chennai,10.4,100,5,51,170
SRH,MI,Kolkata,14.8,93,3,30,143
DC,CSK,Bangalore,19.3,190,2,64,195
GT,SRH,Kolkata,12.8,107,9,44,152
RCB,GT,Jaipur,10.6,65,6,40,146
RCB,CSK,Chennai,17.6,130,1,63,149
KKR,DC,Bangalore,17.6,130,10,68,146
LSG,SRH,Hyderabad,11.7,77,0,43,135
KKR,CSK,Chennai,12.4,99,2,36,148
PBKS,LSG,Bangalore,9.1,83,0,70,190
DC,SRH,Kolkata,3.5,30,5,60,185
RR,CSK,Ahmedabad,17.0,165,3,36,189
RCB,DC,Chennai,4.6,43,9,65,150
RCB,LSG,Jaipur,18.4,138,9,54,150
RCB,PBKS,Kolkata,4.1,25,7,58,131
KKR,LSG,Kolkata,4.1,39,5,43,178
DC,SRH,Chennai,3.1,25,3,55,164
GT,LSG,Kolkata,10.1,64,3,32,127
RCB,DC,Ahmedabad,16.6,143,9,53,176
RR,KKR,Delhi,18.2,140,1,46,156
RCB,KKR,Chennai,16.8,118,6,68,138
KKR,GT,Delhi,13.4,94,7,61,151
PBKS,LSG,Jaipur,17.3,147,6,61,168
SRH,CSK,Jaipur,10.4,101,10,68,174
KKR,CSK,Delhi,6.0,59,9,61,171
RR,RCB,Delhi,16.3,113,6,50,140
KKR,LSG,Kolkata,14.9,140,8,67,173
LSG,MI,Delhi,1.5,13,7,44,141
RCB,MI,Jaipur,17.2,160,8,49,184
RCB,CSK,Ahmedabad,4.7,43,10,48,151
CSK,SRH,Kolkata,11.2,89,3,33,142
CSK,KKR,Chennai,14.0,99,3,61,155
RR,MI,Kolkata,9.2,82,10,41,152
LSG,GT,Jaipur,10.0,80,9,70,164
RCB,CSK,Jaipur,3.3,28,10,36,176
PBKS,RR,Delhi,18.6,148,4,59,157
CSK,DC,Jaipur,4.2,26,8,62,158
KKR,GT,Bangalore,11.6,98,4,35,161
RR,KKR,Kolkata,14.7,145,1,67,193
LSG,KKR,Mumbai,13.6,101,8,58,145
RCB,SRH,Kolkata,5.0,35,6,58,127
KKR,GT,Chennai,16.6,100,7,64,125
DC,KKR,Chennai,19.1,180,4,68,187
DC,CSK,Delhi,12.7,94,4,48,148
LSG,KKR,Mumbai,4.5,37,9,71,191
RCB,SRH,Bangalore,7.6,46,0,37,149
CSK,SRH,Ahmedabad,10.3,100,1,37,184
MI,GT,Bangalore,10.0,65,10,67,133
RCB,MI,Mumbai,14.7,101,1,46,151
RCB,MI,Delhi,16.7,165,4,41,192
KKR,RCB,Jaipur,8.4,66,6,60,174
PBKS,RR,Jaipur,18.9,150,0,53,157
RCB,SRH,Mumbai,16.0,138,7,56,162
RR,LSG,Delhi,18.9,145,8,66,155
LSG,KKR,Hyderabad,13.7,134,10,61,176
RCB,CSK,Bangalore,10.4,94,4,55,188
DC,KKR,Jaipur,16.6,115,1,30,142
RR,GT,Bangalore,6.0,43,9,79,180
GT,CSK,Hyderabad,8.1,73,8,30,152
SRH,DC,Mumbai,7.2,70,3,42,168
RR,DC,Mumbai,19.8,124,10,64,125
CSK,RCB,Kolkata,3.6,23,0,40,165
DC,PBKS,Jaipur,8.6,66,6,79,179
DC,SRH,Delhi,3.7,36,3,40,191
GT,DC,Mumbai,4.0,31,8,51,184
SRH,PBKS,Ahmedabad,8.0,69,0,35,176
PBKS,RCB,Delhi,14.3,140,8,77,182
CSK,MI,Mumbai,19.3,159,6,64,163
RR,GT,Mumbai,11.1,103,7,58,183
MI,CSK,Jaipur,10.5,67,3,35,124
RCB,RR,Kolkata,11.9,80,0,44,136
CSK,RR,Chennai,5.4,37,5,54,178
RCB,CSK,Bangalore,12.4,97,5,61,172
RCB,GT,Ahmedabad,2.6,15,9,34,187
SRH,CSK,Delhi,7.4,60,2,31,158
PBKS,SRH,Chennai,19.8,128,1,63,129
CSK,KKR,Delhi,15.8,139,3,72,175
KKR,RCB,Mumbai,19.7,119,4,57,121
SRH,RR,Delhi,13.8,134,7,36,172
SRH,PBKS,Delhi,6.6,48,10,76,170
PBKS,CSK,Kolkata,12.2,114,5,79,187
RCB,KKR,Hyderabad,2.3,17,9,45,176
KKR,GT,Mumbai,4.2,32,9,63,172
KKR,RR,Kolkata,4.7,33,5,44,155
CSK,LSG,Bangalore,3.3,26,9,46,148
LSG,KKR,Hyderabad,15.3,126,7,45,155
RCB,CSK,Chennai,15.2,140,1,48,170
PBKS,SRH,Delhi,2.1,20,0,43,154
RR,KKR,Jaipur,18.0,120,5,48,139
KKR,MI,Ahmedabad,1.1,9,9,32,167
PBKS,CSK,Bangalore,20.0,126,4,79,126
RR,GT,Hyderabad,1.2,11,3,61,147
SRH,GT,Delhi,11.0,75,5,40,137
MI,DC,Delhi,17.5,145,0,71,162
MI,GT,Mumbai,8.5,60,2,49,159
LSG,GT,Chennai,19.1,178,7,74,186
RR,CSK,Mumbai,19.9,170,7,67,170
DC,LSG,Mumbai,18.3,132,10,51,147
GT,RR,Kolkata,16.4,108,8,64,130
MI,LSG,Delhi,12.2,96,2,69,168
DC,PBKS,Jaipur,8.9,75,5,33,163
RCB,CSK,Bangalore,2.0,14,3,79,182
CSK,RR,Kolkata,1.9,13,1,43,170
RCB,MI,Kolkata,12.2,89,3,65,144
RCB,RR,Delhi,17.4,159,3,40,183
MI,PBKS,Chennai,11.1,81,9,38,138
SRH,RCB,Delhi,14.9,137,9,78,186
KKR,LSG,Delhi,5.4,45,1,75,157
CSK,MI,Hyderabad,6.3,43,5,72,138
RCB,CSK,Ahmedabad,16.7,162,8,69,184
RCB,RR,Jaipur,13.8,124,9,69,172
RCB,RR,Delhi,1.8,15,1,30,128
LSG,RR,Chennai,9.2,70,1,39,171
MI,CSK,Kolkata,15.9,151,2,59,177
RR,PBKS,Ahmedabad,15.1,137,1,55,180
SRH,MI,Kolkata,7.4,51,3,35,160
CSK,SRH,Bangalore,17.6,137,5,61,160
SRH,CSK,Bangalore,19.5,194,2,44,197
RCB,GT,Delhi,14.1,120,0,42,156
LSG,RCB,Mumbai,9.2,77,7,51,168
SRH,DC,Ahmedabad,9.2,87,8,67,174
MI,GT,Jaipur,2.9,25,4,31,158
CSK,SRH,Jaipur,10.2,66,2,58,155
DC,GT,Chennai,16.4,158,5,45,188
GT,CSK,Delhi,16.8,161,6,49,185
PBKS,RCB,Delhi,15.7,111,9,49,153
KKR,LSG,Chennai,13.8,92,6,38,145
SRH,PBKS,Bangalore,10.9,99,8,72,156
PBKS,GT,Jaipur,16.4,140,8,38,161
SRH,GT,Jaipur,16.3,143,5,54,165
RR,RCB,Delhi,1.3,8,9,59,167
GT,SRH,Mumbai,9.3,85,0,66,151
PBKS,CSK,Kolkata,1.9,12,9,52,162
RCB,DC,Hyderabad,11.7,90,8,44,160
PBKS,CSK,Jaipur,18.6,154,0,63,167
CSK,RR,Bangalore,13.8,101,10,61,156
DC,CSK,Ahmedabad,12.6,114,5,43,171
SRH,CSK,Jaipur,9.1,79,2,38,171
DC,MI,Hyderabad,4.8,29,6,32,143
CSK,SRH,Hyderabad,12.6,99,5,38,161
KKR,RCB,Chennai,12.8,117,6,72,160
KKR,CSK,Ahmedabad,9.8,93,3,39,174
RCB,KKR,Bangalore,4.4,43,9,54,196
PBKS,CSK,Delhi,2.0,19,6,41,194
RR,CSK,Chennai,14.5,119,0,77,155
GT,RCB,Ahmedabad,3.1,26,5,52,147
GT,KKR,Delhi,7.8,66,0,76,178
GT,DC,Bangalore,3.4,28,3,75,151
SRH,LSG,Bangalore,18.9,153,4,32,163
RR,DC,Chennai,14.8,113,3,51,164
KKR,RCB,Delhi,18.7,113,3,33,121
LSG,MI,Chennai,9.4,89,7,32,154
RCB,KKR,Jaipur,11.4,69,5,79,145
SRH,RCB,Delhi,12.9,108,5,52,152
CSK,RR,Jaipur,1.7,13,0,30,137
RR,RCB,Hyderabad,8.3,55,6,69,136
SRH,RR,Bangalore,6.1,60,2,40,172
DC,RR,Bangalore,4.6,29,9,41,146
RCB,DC,Mumbai,14.2,104,4,33,141
LSG,RR,Kolkata,16.6,144,7,65,166
SRH,CSK,Ahmedabad,2.1,16,9,32,131
CSK,RCB,Mumbai,8.9,82,6,71,164
LSG,MI,Jaipur,20.0,180,1,37,180
KKR,CSK,Hyderabad,4.6,35,1,69,147
